[35.540002, 33.879845]
[35.538117, 33.878337]
[35.531328, 33.883102]
[35.528302, 33.882420]
[35.515335, 33.878857]
[35.507801, 33.878318]
[35.491437, 33.880566]
[35.473800, 33.887265]
[35.470343, 33.894930]
[35.475335, 33.901620]
[35.485492, 33.901720]
[35.493217, 33.901220]
[35.503917, 33.901601]
[35.512446, 33.897487]
[35.524580, 33.899189]
[35.541633, 33.895861]
[35.549835, 33.893719]
[35.549777, 33.893579]
