[35.549782, 33.893595]
[35.546651, 33.894754]
[35.540836, 33.896257]
[35.531785, 33.898479]
[35.522762, 33.898484]
[35.508671, 33.899558]
[35.499918, 33.902200]
[35.480682, 33.902845]
[35.470241, 33.895071]
[35.477784, 33.884366]
[35.489824, 33.880914]
[35.503598, 33.877785]
[35.512224, 33.878551]
[35.521562, 33.879485]
[35.525905, 33.881088]
[35.529818, 33.883615]
[35.534974, 33.879010]
[35.540011, 33.879761]
