[35.589470, 33.916611]
[35.586792, 33.909081]
[35.576571, 33.895227]
[35.565785, 33.890843]
[35.558937, 33.892439]
[35.551222, 33.893203]
[35.541560, 33.896073]
[35.518220, 33.892648]
[35.520407, 33.887169]
[35.508123, 33.886815]
[35.496394, 33.889314]
[35.484711, 33.890204]
[35.483487, 33.892736]
[35.483562, 33.893968]
