[35.494902, 33.875663]
[35.493856, 33.862894]
[35.493563, 33.848623]
[35.497731, 33.833362]
[35.498200, 33.817630]
[35.486706, 33.802825]
[35.477275, 33.784659]
[35.464307, 33.766235]
[35.453198, 33.741679]
[35.441053, 33.701633]
[35.424672, 33.676096]
[35.423999, 33.656983]
[35.402034, 33.630558]
[35.390934, 33.599087]
[35.386787, 33.588114]
[35.384960, 33.582172]
[35.376466, 33.567235]
[35.374880, 33.565158]
