[35.491081, 33.901858]
[35.483411, 33.902415]
[35.471658, 33.900443]
[35.477483, 33.884814]
[35.485399, 33.881194]
[35.486209, 33.877556]
[35.486155, 33.876384]
[35.486208, 33.873462]
[35.485911, 33.863582]
[35.486289, 33.860093]
[35.493569, 33.859781]
[35.493712, 33.858154]
[35.499498, 33.859456]
[35.50302, 33.8591150]
